current_action,predicted_action,Llama-3.2_model_reply
put-down kettle,put-down jarspice,I'll wash the jarspice.
close drawerfreezer,close freezer,I will close the drawer.
put rackdrying,pick-up saucepan,I'll wash the saucepan.
pick-up parmesan,put-down parmesan,I will wash the parmesan.
put liquidwashing,put-down liquidwashing,I will put-down liquidwashing.
close liquidwashingup,put-down detergent,fetch detergent
pour liquidwashingup,put-down detergent,I'll wash the dishes.
put-away matsushi,pick-up tupperware,I'll wash the tupperware.
open wrapmeat,remove-from meat,I will wash the meat.
taste meat,pick-up spoonwooden,I'll wash the spoonwooden.
cut melon,peel melon,I will wash the melon.
pick-up cereal,pour-in milk,Pour milk into the cereal.
put-down milk,pick-up milk,fetch milk
store milk,pick-up egg,fetch milk
open oven,slide-onto pizza,"### action: slide-onto pizza

### next action: place on baking sheet"
pour water,lather scoop,fetch water.
cut mozzarella,pick-up mozzarella,I will pick up the mozzarella.
lift basecoffeemachine,open bag,I will wash the basecoffeemachine.
pick-up salad,open salad,"### action: wash
### action: cut
### action: slice
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring"
put-down mug,open bottlemilk,I'll wash the mug.
pick-up scissors,put-down bagpinenut,I'm washing the bagpennyut.
put-in oil,put-down oil,I will wash the pan.
move dough,dry hand,I'll wash the dough.
pick-up tray,rinse utensil,I'll wash the utensil.
put-down panfrying,open dishwasher,I will wash the pan.
move glass,pick-up glass,I will wash the glass.
open paperbaking,pick-up scissors,I'll wash the scissors.
put-down seedolive,close packageolive,I will wash the olive seedolive.
put-in bag,put-in freezer,fetch ingredients from pantry.
dry hand,put-down cloth,I'll put down the cloth.
test potato,stir potato,I'll wash the potato.
pick-up cutlery,pick-up boardchopping,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
put-in pie,adjust heat,"### action: wash

### next action: adjust heat

### action: pour

### action: fetch

### action: clean

### action: stabilize

### action: bring"
cut pineapple,pick-up pineapple,I will wash the pineapple.
roll dough,pick-up chilli,I'll wash the dough.
open pizza,put-down pizza,I will wash the pizza.
chop garlic,peel garlic,I will wash the garlic.
pour raisin,put-away raisin,put-away raisin.
take-from paper,put-down rollpaper,I will put down the rollpaper.
open oven,pick-up salad,fetch salad
hang bag,pick-up cutlery,fetch cutlery.
put breastchicken,wash hand,I'll wash my hands.
pick-up cloth,put-down cloth,fetch cloth
move-around piecetofu,separate piecetofu,I will wash the piecetofu.
move-in carrot,flip burgertuna,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring

### response
wash the carrot."
open dishwasher,put-in dishwasher,fetch dishes
pick-up tupperware,pick-up pie,I'll wash the tupperware.
pull-through spatula,stir mixture,"### action: wash

### next action: stir"
put-in dishwasher,wash catchersink,fetch the dishwasher detergent.
stir broccoli,put-down dishoven,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
stir food,stir rice,I will wash the rice.
place liquidwashingup,put-in scissors,I'll put the scissors in the utensil holder.
smell starter,put-in milk,I'll wash the starter.
put-on potato,pick-up onion,I'll wash the potato.
get-from tablet,put-down glass,I'll put-down the glass.
pick-up strainerteapot,put-in bottletonicwater,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
pick-up cutlery,pick-up cheese,I will wash the cutlery.
put-down teaspoon,rinse silverware,I'll wash the silverware.
rinse teaspoon,lather teaspoon,wash the teaspoon.
fold napkin,pick-up trivet,I will pick up the trivet.
pick-up teaspoon,open bingarbage,I will wash the teaspoon.
put-down tongs,close tongs,I will wash the tongs.
eat chunkporkbelly,pick-up teaspoon,I'll wash the teaspoon.
push levertoaster,spread-on butter,I'll wash the toaster.
put-in dough,put-down papergreaseproof,I'll wash the dough.
take liquidwashingup,pour liquidwashingup,I will pour liquidwashingup.
put-down traybaking,put-down pizza,I will wash the traybaking tray.
fill kettle,rinse tray,wash the kettle.
pick-up stone,place stone,I'll wash the stone.
spread-in binleftoverfood,put-in dishwasher,put-in dishwasher.
put-into filter,fill-up jug,I'll wash the jug.
drink water,pour-into water,"### action: pour-into water
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
pour-into water,pick-up tupperware,fetch tupperware
pick-up potato,shake pepper,I'll wash the potato.
take boxlunch,put boxlunch,I'll put the boxlunch in the sink.
pick-up glass,place glass,Place glass.
adjust stereo,open blind,"### action list: open blind, wash"
wash chopstick,wash dish,fetch dish.
take rag,rinse rag,I'll wash the rag.
flip tortilla,dry hand,"### action: dry hand

### next action: wash"
close bottleoil,store sauce,I will wash the bottle.
open egg,pour-in egg,I will wash the egg.
mix ingredient,pour-into water,I will wash the utensils.
put-inside soap,take basket,fetch basket.
put-down sieve,move jugmeasuring,I'll wash the jugmeasuring.
pick-up holdernapkin,pick-up glass,I'm washing the glass.
turn-on ovenmicrowave,take-from packagecookie,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
open bag,pour-into water,I will wash the bag.
take squash,take salmon,I'll wash the salmon.
grab boardcutting,wipe boardcutting,I'll wash the boardcutting.
grab saucepan,grab spatula,I'm washing the saucepan.
pour-out water,pick-up boxlunch,fetch boxlunch
rinse cutlery,wash cutlery,I will wash the cutlery.
open-up boxlunch,put-in content,I'll put the lunch content into the box.
put lemon,pick-up detergent,fetch detergent
pick-up scissors,cut pizza,fetch pizza
grab salmon,put salmon,I'll wash the salmon.
pick-up rubbish,wash lidsaucepan,fetch saucepan
put boardchopping,chop carrot,I'll wash the carrots.
pick-up glass,push-out glass,I'm washing the glass.
take onion,put-on onion,I'll wash the onion.
dry hand,pick-up salad,I'll wash the salad.
put-on salt,pour-into water,fetch salt
take saucepan,scoop food,I will wash the saucepan.
take-out sticker,throw rubbish,"### action: wash
### action list: bring, clean, fetch, pour, mix, cut, slice, stabilize, dry, wash"
mix meat,stir meat,I'll wash the meat.
open bagshopping,put-down tin,I will put the tin down.
open basketlaundry,pick-up powderwashing,fetch powder
close boxcereal,move boxcereal,I will wash the boxcereal.
pick-up can,pick-up napkin,I'm washing the napkin.
pick-up clip,pick-up cloth,I will wash the cloth.
take cloth,put-down cloth,I will put the cloth down.
drain pasta,pick-up colander,I'll drain the pasta.
pick-up ladle,pour-in salsa,fetch ladle
pick-up boardcutting,rinse boardcutting,I'll wash the boardcutting.
pick-up spatula,put-down spatula,"### action: put-down spatula
### next action: wash"
pick-up fingerfish,put-down fingerfish,I will wash the fingerfish.
pick-up jug,fill-with jug,fetch jug.
pour-into squash,close squash,Close squash.
shake hand,pick-up cloth,I'll wash the cloth.
put-down tupperware,pick-up tupperware,I will wash the tupperware.
rinse hand,pick-up soap,fetch soap.
pick-up meat,put-down meat,put-down meat
take cereal,put-down cereal,put-down cereal.
take clothtable,move glass,I will wash the glass.
take coreapple,fill-with jug,I'll wash the coreapple.
put packet,open dishwasher,I will wash the packet.
pick-up wok,open drawerspice,I'm washing the wok.
put-down glass,soften butter,I'll wash the glass.
pick-up mug,hang-up mug,I will wash the mug.
pick-up teaspoon,pick-up coffee,fetch coffee
put-back tray,close dooroven,Close the door to the oven.
open paprika,measure paprika,I will wash the paprika.
pick-up soap,pick-up glass,fetch glass
pick-up salad,put-down salad,"### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
stir food,pick-up packagepasta,fetch package pasta
turn-on scale,press button,I will wash the utensils.
pick-up cloth,pick-up traybaking,I will wash the cloth.
pick-up crumb,take-from bagcrisp,fetch crumb
pick-up bag,pick-up spice,fetch spice
pick-up milk,put-down milk,put-down milk
put oil,pick-up bread,fetch bread.
take juice,shake juice,I'll wash the juicer.
wash hand,dry hand,fetch water.
take milkcoconut,open bagginger,I'll wash the bagginger.
pick-up lidsaucepan,wash lidsaucepan,I'll wash the lidsaucepan.
pick-up scale,put-in scale,I'll wash the scale.
put-in dish,stir oat,fetch oat.
wash dish,turn knob,I will wash the dishes.
open packagetortilla,dry hand,I will wash the tortilla.
move slicecourgette,dice courgette,I'll wash the courgette.
take saucepan,put-into saucepan,I will wash the saucepan.
put-into bowlglass,switch-on heat,I'll wash the bowlglass.
wash rice,take chopstick,I'll wash the rice.
open bag,pick-up onion,I'll wash the onion.
put-onto chicken,press chicken,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring"
close freezer,wash hand,fetch water
grab squash,open squash,I will wash the squash.
close oven,pick-up potatosweet,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring"
take-out trayoven,dice onion,I'll wash the onion.
clean oven,clean protectorwall,fetch protectorwall
close packingoat,open cabinet,"### action: open cabinet
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
grab rice,put rice,I'll wash the rice.
clean mug,put-down mug,I will wash the mug.
put-in oil,close cap,I will wash the pot.
rinse hand,pick-up teaspoon,wash the utensil.
put-down sugar,wash teaspoon,I'll wash the teaspoon.
open tupperware,put content,I will wash the tupperware.
shake-off hand,put-on soap,I'll put on soap.
grab glass,wash glass,fetch glass
pick-up clothdish,dry hand,fetch cloth dish
put-down soap,grab piecepaper,I'll wash the soap.
put utensil,take grater,fetch grater
spoon-onto food,serve food,Wash the utensils.
pick-up gloveoven,pick-up tongs,I'll wash the tongs.
pick-up glove,open oven,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
pick-up spoonwooden,pick-up glass,I'm washing the wooden spoon.
put-down spoonwooden,pick-up paper,I'll wash the spoonwooden.
take-off glove,slide tray,"### action: slide tray
### next action: place tray on counter"
wear glove,put-down tray,I will wash the tray.
wash berry,drain berry,fetch berry
empty milk,increase water,I'll wash the milk.
pick-up flour,turn-on scale,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring"
throw-in rubbish,move tray,I will wash the tray.
pick-up knifeparing,rinse knifeparing,I'll wash the knife.
put-down spatula,cover panfrying,I'm washing the pan.
stir rice,pick-up glass,I'll wash the glass.
put-down ladle,lift-up bowllarge,"### action: wash

### list: clean, dry, cut, slice, mix, pour, fetch, stabilize, bring"
grab kettle,put saucepan,fetch saucepan
pick-up saucepan,spoon rice,I'm washing the saucepan.
put-in tray,close oven,I will wash the tray.
bend book,put-down book,I will wash the book.
open cabinet,grab colander,I'll open the cabinet to retrieve the colander.
pick-up colander,put-in colander,I will wash the colander.
pick-up detergent,pick-up cloth,fetch cloth
close bagpasta,put-onto pasta,I will wash the pasta.
put-in tortellini,put gloveoven,I'll wash the tortellini.
adjust-on heat,put-down panfrying,"### action: wash

### next action: dry"
pick-up peelerpotato,wash peelerpotato,I'll wash the peelerpotato.
remove lidfilm,pour-into raspberry,I'll wash the raspberry.
pick-up glass,drink-from water,fetch water.
move rice,sweep rice,I will wash the rice.
take glove,put-on pizza,I'll put on the pizza.
pick podcoffee,shake hand,I'll wash the podcoffee.
put-in onionspring,take onionspring,I'll wash the onionspring.
take milksoy,pour-onto flour,I'll wash the milk-soy.
fold bagcereal,fold tablecloth,I will wash the tablecloth.
fold barcereal,take liquidwashingup,I'll wash the cereal.
trim-into beangreen,wash beangreen,I'll wash the beangreen.
slice chicken,add breastchicken,I'll slice the chicken breast.
take garlic,put garlic,I'll wash the garlic.
open bag,put-in bread,I will wash the bag.
wash scissors,rinse scissors,fetch scissors
take tortellini,put tortellini,I'll wash the tortellini.
break egg,stir egg,I'll wash the egg.
cut chicken,take oil,I'll wash the chicken.
open chilli,pick-up chilli,I will wash the chilli.
take dish,wash dish,Wash the dish.
remove filmcling,wash salad,I'll wash the salad.
pour detergent,pick-up spatula,fetch detergent
put detergent,wash rag,fetch detergent
take napkin,take potcoffee,fetch pot coffee
start dish,return-to tortilla,I will wash the tortilla.
squeeze cloth,rinse cloth,I'll wash the cloth.
take rice,put onion,I'll wash the onion.
take scissors,put-in glove,I'll put on the glove.
place-on jug,take banana,Place the banana on the jug.
empty water,place containersugar,I'll wash the containers.
fill kettle,put glass,I'll wash the kettle.
open kettle,take containerfood,I'll wash the kettle.
rinse kettle,place-on bowlsugar,Place sugar on the counter.
